LocID,PerilID,CoverageTypeID,Status,Message
46,WTC,1,fail,area_peril_id has an unknown id
47,WTC,1,fail,area_peril_id has an unknown id
48,WTC,1,fail,area_peril_id has an unknown id
49,WTC,1,fail,area_peril_id has an unknown id
50,WTC,1,fail,vulnerability_id has an unknown id
51,WTC,1,fail,vulnerability_id has an unknown id
52,WTC,1,fail,vulnerability_id has an unknown id
53,WTC,1,fail,vulnerability_id has an unknown id
54,WTC,1,fail,vulnerability_id has an unknown id
56,WTC,1,fail,area_peril_id has an unknown id
57,WTC,1,fail,area_peril_id has an unknown id
58,WTC,1,fail,vulnerability_id has an unknown id
59,WTC,1,fail,vulnerability_id has an unknown id
60,WTC,1,fail,vulnerability_id has an unknown id
61,WTC,1,fail,vulnerability_id has an unknown id
62,WTC,1,fail,area_peril_id has an unknown id
63,WTC,1,fail,area_peril_id has an unknown id
64,WTC,1,fail,area_peril_id has an unknown id
65,WTC,1,fail,area_peril_id has an unknown id
67,WTC,1,fail,vulnerability_id has an unknown id
68,WTC,1,fail,area_peril_id has an unknown id
71,WTC,1,fail,area_peril_id has an unknown id
72,WTC,1,fail,vulnerability_id has an unknown id
78,WTC,1,fail,vulnerability_id has an unknown id
79,WTC,1,fail,area_peril_id has an unknown id
80,WTC,1,fail,area_peril_id has an unknown id
81,WTC,1,fail,vulnerability_id has an unknown id
82,WTC,1,fail,vulnerability_id has an unknown id
83,WTC,1,fail,area_peril_id has an unknown id
84,WTC,1,fail,area_peril_id has an unknown id
85,WTC,1,fail,area_peril_id has an unknown id
86,WTC,1,fail,area_peril_id has an unknown id
87,WTC,1,fail,area_peril_id has an unknown id
89,WTC,1,fail,area_peril_id has an unknown id
90,WTC,1,fail,area_peril_id has an unknown id
91,WTC,1,fail,area_peril_id has an unknown id
92,WTC,1,fail,area_peril_id has an unknown id
93,WTC,1,fail,area_peril_id has an unknown id
94,WTC,1,fail,area_peril_id has an unknown id
95,WTC,1,fail,area_peril_id has an unknown id
96,WTC,1,fail,area_peril_id has an unknown id
97,WTC,1,fail,area_peril_id has an unknown id
98,WTC,1,fail,area_peril_id has an unknown id
100,WTC,1,fail,area_peril_id has an unknown id
101,WTC,1,fail,area_peril_id has an unknown id
102,WTC,1,fail,area_peril_id has an unknown id
103,WTC,1,fail,area_peril_id has an unknown id
104,WTC,1,fail,area_peril_id has an unknown id
105,WTC,1,fail,area_peril_id has an unknown id
106,WTC,1,fail,area_peril_id has an unknown id
107,WTC,1,fail,area_peril_id has an unknown id
108,WTC,1,fail,area_peril_id has an unknown id
109,WTC,1,fail,area_peril_id has an unknown id
111,WTC,1,fail,area_peril_id has an unknown id
112,WTC,1,fail,area_peril_id has an unknown id
113,WTC,1,fail,area_peril_id has an unknown id
114,WTC,1,fail,vulnerability_id has an unknown id
115,WTC,1,fail,vulnerability_id has an unknown id
116,WTC,1,fail,vulnerability_id has an unknown id
118,WTC,1,fail,vulnerability_id has an unknown id
119,WTC,1,fail,vulnerability_id has an unknown id
120,WTC,1,fail,vulnerability_id has an unknown id
122,WTC,1,fail,vulnerability_id has an unknown id
123,WTC,1,fail,area_peril_id has an unknown id
124,WTC,1,fail,vulnerability_id has an unknown id
