event_id,period_no,occ_year,occ_month,occ_day
20,1,2001,6,6
22,1,2001,8,6
27,1,2001,9,14
45,2,2002,9,14
46,2,2002,9,26
49,2,2002,10,3
53,3,2003,6,30
54,3,2003,7,15
63,3,2003,9,19
77,4,2004,9,5
80,4,2004,9,16
82,4,2004,9,26
90,5,2005,7,6
91,5,2005,7,11
99,5,2005,8,26
105,5,2005,9,24
109,5,2005,10,5
112,5,2005,10,24
124,6,2006,9,1
137,7,2007,9,13
149,8,2008,7,23
151,8,2008,8,19
152,8,2008,9,1
153,8,2008,9,6
154,8,2008,9,13
183,10,2010,9,7
203,11,2011,8,27
216,12,2012,5,28
223,12,2012,8,29
232,12,2012,10,29
259,15,2015,6,16
278,16,2016,9,2
280,16,2016,9,13
288,17,2017,6,22
294,17,2017,8,26
295,17,2017,9,11
300,17,2017,10,8
309,18,2018,9,14
310,18,2018,9,3
317,18,2018,10,11
321,19,2019,7,13
336,19,2019,10,26
341,20,2020,5,27
342,20,2020,6,8
345,20,2020,7,10
347,20,2020,7,25
348,20,2020,8,4
352,20,2020,8,27
358,20,2020,9,16
365,20,2020,10,10
367,20,2020,10,29
