damage_bin_index,damage_from,damage_to,interpolation
1,0.0,0.0,0.0
2,0.0,1.9037980109513393e-05,9.518990054756696e-06
3,1.9037980109513393e-05,0.0004964788556270977,0.00025775841786830557
4,0.0004964788556270977,0.0022786423233637815,0.0013875605894954396
5,0.0022786423233637815,0.006209545280842909,0.004244093802103345
6,0.006209545280842909,0.013084684923740505,0.009647115102291708
7,0.013084684923740505,0.023610320420890948,0.018347502672315726
8,0.023610320420890948,0.03835570119384195,0.03098301080736645
9,0.03835570119384195,0.057705175900160596,0.04803043854700127
10,0.057705175900160596,0.0818186956248292,0.0697619357624949
11,0.0818186956248292,0.11060917623838117,0.09621393593160518
